season,manager,position,player,club,cost
2025-26,Lloyd,DEF,De Ligt,MUN,0.25
2025-26,Lloyd,DEF,Aina,NFO,2.0
2025-26,Lloyd,DEF,Murillo,NFO,2.75
2025-26,Lloyd,DEF,Chalobah,CHE,1.0
2025-26,Lloyd,DEF,Truffert,BOU,0.5
2025-26,Lloyd,MID,Mac Allister,LIV,3.0
2025-26,Lloyd,MID,Iwobi,FUL,3.25
2025-26,Lloyd,MID,Martinelli,ARS,0.5
2025-26,Lloyd,MID,McNeil,EVE,0.25
2025-26,Lloyd,MID,Aaronsen,LEE,0.0
2025-26,Lloyd,FWD,Evanilson,BOU,13.0
2025-26,Lloyd,FWD,Wood,NFO,14.25
2025-26,Lloyd,FWD,Jimenez,FUL,5.5
2025-26,Lucien,GK,Leno,FUL,1.0
2025-26,Lucien,GK,Jose Sa,WOL,0.25
2025-26,Lucien,DEF,Cucurella,CHE,4.0
2025-26,Lucien,DEF,Ait-Nouri,MCI,4.75
2025-26,Lucien,DEF,Mykolenko,EVE,1.0
2025-26,Lucien,DEF,Lewis-Potter,BRE,0.5
2025-26,Lucien,DEF,Dorgu,MUN,1.5
2025-26,Lucien,MID,Szoboszlai,LIV,4.5
2025-26,Lucien,MID,Johnson,TOT,3.0
2025-26,Lucien,MID,Amad,MUN,5.5
2025-26,Lucien,MID,Damsgaard,BRE,2.5
2025-26,Lucien,MID,Anderson,NFO,1.5
2025-26,Lucien,FWD,Bowen,WHU,17.0
2025-26,Lucien,FWD,Igor Jesus,NFO,2.0
2025-26,Lucien,FWD,Zirkzee,MUN,1.0
2025-26,Efe,GK,Dubravka,BUR,0.5
2025-26,Efe,GK,Bayindir,MUN,0.0
2025-26,Efe,DEF,Saliba,ARS,5.5
2025-26,Efe,DEF,Lewis-Skelly,ARS,4.25
2025-26,Efe,DEF,Frimpong,LIV,5.5
2025-26,Efe,DEF,Bassey,FUL,0.0
2025-26,Efe,DEF,Maguire,MUN,0.0
2025-26,Efe,MID,Foden,MCI,10.75
2025-26,Efe,MID,Kluivert,BOU,3.75
2025-26,Efe,MID,Rutter,BRI,1.75
2025-26,Efe,MID,Hudson-Odoi,NFO,0.5
2025-26,Efe,MID,Gravenberch,LIV,0.5
2025-26,Efe,FWD,Sesko,MUN,14.25
2025-26,Efe,FWD,Richarlison,TOT,2.5
2025-26,Efe,FWD,Obi,MUN,0.0
